SegmentsId,ObservationTime
239249,[['00:03:00', '00:13:00']]
235927,[['00:03:00', '00:23:00']]
223445,[['00:03:00']]
83174,[['00:03:00', '00:23:00']]
3145936,[['00:03:00', '00:13:00']]
1270886,[['00:03:00', '00:08:00']]
936033,[['00:03:00']]
919071,[['00:03:00', '00:13:00']]
529875,[['00:03:00', '00:19:00']]
365868,[['00:03:00', '00:19:00']]
321800,[['00:03:00', '00:13:00']]
290337,[['00:03:00', '00:23:00']]
274524,[['00:03:00', '00:08:00']]
26358,[['00:08:00', '00:29:00']]
365869,[['00:08:00', '00:23:00']]
2653407,[['00:13:00', '00:33:00']]
375141,[['00:19:00']]
404206,[['00:29:00', '00:53:00']]
464544,[['00:29:00'], ['02:23:00', '02:48:00']]
265346,[['00:33:00', '00:53:00']]
277443,[['00:33:00', '00:53:00']]
1336169,[['00:39:00', '01:03:00']]
197967,[['00:43:00', '01:03:00']]
1747519,[['00:43:00', '01:03:00']]
339154,[['00:49:00', '01:14:00']]
197968,[['00:53:00', '01:03:00']]
200112,[['00:53:00', '01:03:00']]
200113,[['00:53:00', '01:09:00']]
224875,[['00:59:00', '01:19:00']]
231085,[['00:59:00', '01:19:00']]
231086,[['00:59:00', '01:19:00']]
231087,[['00:59:00', '01:23:00']]
299508,[['00:59:00', '01:23:00']]
474409,[['00:59:00', '01:19:00']]
1066104,[['00:59:00', '01:23:00']]
1068289,[['01:03:00']]
3551772,[['01:03:00']]
2041994,[['01:09:00', '01:28:00']]
73469,[['01:14:00', '01:38:00']]
1672653,[['01:14:00', '01:38:00']]
3794242,[['01:14:00', '01:34:00']]
239251,[['01:23:00', '01:44:00']]
3508878,[['01:34:00', '01:44:00']]
261770,[['01:38:00', '01:58:00']]
1851496,[['01:38:00', '02:03:00']]
1851497,[['01:38:00', '02:03:00']]
1789970,[['01:44:00', '02:03:00']]
284109,[['01:54:00', '02:13:00']]
284110,[['01:54:00', '02:13:00']]
498818,[['01:54:00', '02:09:00']]
3614488,[['01:54:00', '02:03:00'], ['08:33:00', '08:43:00']]
1381816,[['02:03:00']]
1381817,[['02:03:00', '02:09:00'], ['08:33:00', '08:53:00']]
1789971,[['02:03:00']]
1789972,[['02:03:00']]
1789973,[['02:03:00', '02:09:00']]
974948,[['02:13:00', '02:33:00'], ['10:53:00', '11:13:00']]
1234644,[['02:13:00', '02:23:00']]
181091,[['02:23:00', '02:43:00']]
345599,[['02:23:00', '02:38:00']]
345600,[['02:23:00', '02:38:00']]
1073834,[['02:33:00', '02:48:00']]
1078270,[['02:33:00', '02:48:00']]
1078271,[['02:33:00', '02:48:00']]
1541124,[['02:38:00', '02:54:00']]
3610084,[['02:38:00', '03:04:00']]
395339,[['02:43:00', '02:48:00']]
395340,[['02:43:00', '02:48:00']]
1086793,[['02:43:00', '03:08:00']]
3782660,[['02:43:00']]
1229201,[['02:48:00', '03:08:00']]
3936832,[['02:48:00', '03:04:00']]
181439,[['02:54:00', '03:04:00']]
3765069,[['02:54:00', '03:08:00']]
3765070,[['02:59:00', '03:13:00']]
407926,[['03:04:00', '03:28:00']]
301520,[['03:08:00', '03:23:00']]
301521,[['03:08:00', '03:23:00']]
1463761,[['03:08:00', '03:13:00']]
1463762,[['03:08:00', '03:13:00']]
3927951,[['03:08:00', '03:23:00']]
3927952,[['03:08:00', '03:28:00']]
184749,[['03:18:00', '03:43:00']]
2596984,[['03:23:00', '03:48:00']]
1725832,[['03:38:00', '03:53:00'], ['14:58:00']]
524566,[['03:43:00', '04:08:00']]
212761,[['03:48:00', '04:08:00']]
227623,[['03:48:00', '04:08:00']]
1997785,[['03:48:00', '04:14:00']]
1997786,[['03:48:00', '04:14:00']]
201621,[['03:53:00', '04:14:00']]
298008,[['03:53:00', '04:19:00']]
1551706,[['03:53:00', '04:03:00']]
4276698,[['03:53:00', '04:03:00']]
349765,[['03:58:00', '04:23:00']]
417021,[['03:58:00', '04:19:00']]
3586796,[['03:58:00', '04:14:00']]
477179,[['04:08:00', '04:23:00']]
1319287,[['04:08:00', '04:23:00']]
39326,[['04:14:00', '04:34:00']]
3396707,[['04:14:00', '04:34:00'], ['08:13:00']]
1541422,[['04:19:00', '04:38:00']]
1507,[['04:29:00', '04:48:00'], ['13:14:00']]
1301430,[['04:29:00', '04:48:00']]
267610,[['04:34:00', '04:58:00']]
3518323,[['04:34:00', '04:54:00']]
3518324,[['04:34:00', '04:54:00']]
152087,[['04:48:00', '05:13:00']]
4262272,[['04:54:00', '05:19:00']]
2990780,[['05:04:00', '05:28:00']]
354265,[['05:13:00', '05:39:00']]
1246775,[['05:19:00', '05:44:00']]
1321365,[['05:19:00', '05:39:00']]
4238988,[['05:19:00', '05:23:00']]
4238989,[['05:19:00', '05:28:00']]
1069482,[['05:23:00', '05:48:00']]
1247884,[['05:28:00']]
40682,[['05:33:00']]
1068310,[['05:33:00']]
1076056,[['05:33:00', '05:53:00']]
1747521,[['05:44:00', '06:04:00']]
4288181,[['05:48:00']]
1308036,[['05:53:00', '06:13:00']]
1308037,[['05:53:00', '06:13:00']]
277445,[['05:58:00', '06:13:00']]
504568,[['05:58:00', '06:04:00']]
3573518,[['05:58:00', '06:23:00']]
3573519,[['05:58:00', '06:23:00']]
149364,[['06:04:00', '06:23:00']]
275678,[['06:04:00', '06:18:00']]
317083,[['06:04:00', '06:28:00']]
1995631,[['06:04:00', '06:23:00']]
2586235,[['06:04:00', '06:18:00']]
193203,[['06:09:00', '06:28:00']]
378984,[['06:09:00', '06:28:00']]
1307978,[['06:09:00', '06:33:00']]
85322,[['06:13:00', '06:23:00']]
408088,[['06:13:00', '06:38:00']]
3587077,[['06:13:00', '06:38:00']]
40761,[['06:18:00', '06:23:00']]
146566,[['06:18:00', '06:38:00']]
491995,[['06:18:00', '06:43:00']]
4255292,[['06:18:00']]
4255293,[['06:18:00']]
291509,[['06:23:00', '06:43:00']]
420871,[['06:23:00', '06:43:00']]
911940,[['06:23:00']]
911941,[['06:23:00', '06:28:00']]
911942,[['06:23:00', '06:28:00']]
911943,[['06:23:00', '06:28:00']]
911944,[['06:23:00', '06:33:00']]
911945,[['06:23:00', '06:33:00']]
911946,[['06:23:00', '06:33:00']]
911947,[['06:23:00', '06:33:00']]
911948,[['06:23:00', '06:38:00']]
911949,[['06:23:00', '06:38:00']]
911950,[['06:23:00', '06:38:00']]
911951,[['06:23:00', '06:43:00']]
911952,[['06:23:00', '06:43:00']]
911953,[['06:23:00', '06:43:00']]
1529345,[['06:23:00', '06:43:00']]
190297,[['06:28:00', '06:48:00']]
443792,[['06:28:00', '06:48:00']]
1521668,[['06:28:00', '06:48:00']]
1521669,[['06:28:00']]
1521760,[['06:28:00', '06:53:00']]
1971228,[['06:28:00', '06:33:00'], ['10:28:00', '10:43:00']]
3739453,[['06:28:00', '06:53:00']]
3788443,[['06:28:00']]
231824,[['06:33:00', '06:58:00']]
336957,[['06:33:00', '06:53:00']]
336958,[['06:33:00']]
412825,[['06:33:00', '06:53:00']]
628509,[['06:33:00', '06:43:00']]
1547436,[['06:33:00', '06:53:00']]
21164,[['06:38:00', '06:58:00']]
75816,[['06:38:00', '07:03:00']]
237572,[['06:38:00', '07:03:00']]
1480110,[['06:38:00', '06:58:00']]
1552799,[['06:38:00', '06:58:00']]
1552800,[['06:38:00', '06:58:00']]
