SegmentsId,ObservationTime,Accident Time
2953351,['2021-01-04 08:13:00', '2021-01-04 08:53:00'],2021-01-04 08:39:45
2953350,['2021-01-04 08:13:00', '2021-01-04 08:53:00'],2021-01-04 08:39:45
2953349,['2021-01-04 08:13:00', '2021-01-04 08:53:00'],2021-01-04 08:39:45
3406731,['2021-01-04 08:13:00', '2021-01-04 08:53:00'],2021-01-04 08:39:45
3406730,['2021-01-04 08:13:00', '2021-01-04 08:53:00'],2021-01-04 08:39:45
3406729,['2021-01-04 08:13:00', '2021-01-04 08:53:00'],2021-01-04 08:39:45
3406728,['2021-01-04 08:13:00', '2021-01-04 08:53:00'],2021-01-04 08:39:45
3406727,['2021-01-04 08:13:00', '2021-01-04 08:53:00'],2021-01-04 08:39:45
3406726,['2021-01-04 08:13:00', '2021-01-04 08:53:00'],2021-01-04 08:39:45
3406725,['2021-01-04 08:13:00', '2021-01-04 08:53:00'],2021-01-04 08:39:45
2953353,['2021-01-04 08:13:00', '2021-01-04 08:53:00'],2021-01-04 08:39:45
2953354,['2021-01-04 08:13:00', '2021-01-04 08:53:00'],2021-01-04 08:39:45
1492537,['2021-01-04 09:58:00', '2021-01-04 10:08:00'],2021-01-04 10:02:04
1492536,['2021-01-04 09:58:00', '2021-01-04 10:08:00'],2021-01-04 10:02:04
1492535,['2021-01-04 09:58:00', '2021-01-04 10:08:00'],2021-01-04 10:02:04
1492534,['2021-01-04 13:33:00', '2021-01-04 13:48:00'],2021-01-04 13:34:06
1492533,['2021-01-04 13:33:00', '2021-01-04 13:48:00'],2021-01-04 13:34:06
1538558,['2021-01-04 09:58:00', '2021-01-04 10:08:00'],2021-01-04 10:02:04
1538559,['2021-01-04 09:58:00', '2021-01-04 10:08:00'],2021-01-04 10:02:04
2953387,['2021-01-04 12:53:00', '2021-01-04 13:23:00'],2021-01-04 12:57:22
2953389,['2021-01-04 12:53:00', '2021-01-04 13:23:00'],2021-01-04 12:57:22
2953386,['2021-01-04 12:53:00', '2021-01-04 13:23:00'],2021-01-04 12:57:22
3230002,['2021-01-04 12:53:00', '2021-01-04 13:23:00'],2021-01-04 12:57:22
3230003,['2021-01-04 12:53:00', '2021-01-04 13:23:00'],2021-01-04 12:57:22
1573305,['2021-01-04 12:03:00', '2021-01-04 12:13:00'],2021-01-04 12:11:11
645292,['2021-01-04 07:28:00', '2021-01-04 09:18:00'],2021-01-04 07:38:56
645293,['2021-01-04 07:28:00', '2021-01-04 09:18:00'],2021-01-04 07:38:56
1567143,['2021-01-04 07:28:00', '2021-01-04 09:18:00'],2021-01-04 07:38:56
1567144,['2021-01-04 07:28:00', '2021-01-04 09:18:00'],2021-01-04 07:38:56
1567145,['2021-01-04 07:28:00', '2021-01-04 09:18:00'],2021-01-04 07:38:56
1567150,['2021-01-04 07:28:00', '2021-01-04 09:18:00'],2021-01-04 07:38:56
1567151,['2021-01-04 07:28:00', '2021-01-04 09:18:00'],2021-01-04 07:38:56
1567155,['2021-01-04 07:28:00', '2021-01-04 09:18:00'],2021-01-04 07:38:56
645295,['2021-01-04 07:28:00', '2021-01-04 09:18:00'],2021-01-04 07:38:56
645294,['2021-01-04 07:28:00', '2021-01-04 09:18:00'],2021-01-04 07:38:56
458466,['2021-01-04 07:38:00', '2021-01-04 07:48:00'],2021-01-04 07:38:56
903578,['2021-01-04 07:38:00', '2021-01-04 07:48:00'],2021-01-04 07:38:56
