SegmentID,IntersectingSegments
791686,2137174,
2137174,2137173,
2137173,791679,
791679,791676,
791676,1567035,
1567035,1567034,
1567034,1567033,
1567033,791667,
791667,792175,
792175,792174,
792174,1559673,
1559673,1559672,
1559672,1559669,
1559669,1559668,
1559668,2188866,
2188866,2188865,
2188865,1559675,
1559675,1559674,
1559674,791651,
791651,792185,
792185,5503310,
5503310,5503309,
5503309,5503308,
5503308,5503307,
5503307,1555140,
1555140,6564923,
6564923,6564922,
6564922,6564921,
6564921,791646,
791646,791645,
791645,791637,
791637,791636,
791636,791641,
791641,791643,
791643,791642,
791642,1575224,
1575224,1575228,
1575228,1575229,
1575229,1575230,
1575230,1575225,
1575225,6587470,
6587470,6587471,
6587471,796792,
796792,391525,
391525,789752,
789752,789751,
789751,789750,
789750,789381,
789381,904501,
904501,789388,
789388,789387,
789387,789386,
789386,789743,
789743,789742,
789742,789741,
789741,789740,
789740,789745,
789745,789744,
789744,789747,
789747,789746,
789746,904507,
904507,904506,
904506,904505,
904505,904504,
904504,904503,
904503,890155,
890155,890154,
890154,890157,
890157,890156,
890156,2162653,
2162653,2162655,
2162655,2162654,
2162654,789749,
789749,789748,
789748,2162483,
2162483,2162482,
2162482,2173651,
2173651,2173650,
2173650,904516,
904516,1569886,
1569886,1569885,
1569885,873535,
873535,1576663,
1576663,6117034,1576661,
6117034,6117033,
6117033,1576214,1576662,
1576214,2546314,
2546314,2546313,
2546313,2546312,
2546312,2546311,
2546311,2546310,
2546310,2546309,
2546309,2546308,
2546308,2546307,
2546307,2546306,
2546306,2546305,
2546305,389268,
389268,389267,
389267,389266,
389266,389265,
389265,389264,
389264,389263,
389263,388665,
388665,388664,
388664,388663,
388663,1569435,
1569435,1569434,
1569434,1569433,
1569433,1569437,
1569437,1569436,
1569436,2141271,
2141271,2141270,
2141270,2141269,
2141269,2141272,
2141272,2141253,
2141253,2141252,
2141252,2141251,
2141251,2141250,
2141250,2141254,
2141254,1553026,
1553026,1553031,
1553031,1553035,
1553035,1553036,
1553036,1553022,
1553022,1553021,
1553021,1553014,
1553014,1553013,
1553013,1553012,
1553012,2141245,
2141245,2141244,
2141244,2141243,
2141243,2141242,
2141242,2141241,
2141241,399554,
399554,399553,
399553,399552,
399552,1553040,
